campanya,municipi,cultiu,ha,parcels
2020,PRADES,GUARET SIE/ SUP. LLIURE SEMBRA,5.1807,7
2020,PRADES,ORDI,4.5051,8
2020,PRADES,TÒFONA,4.048,3
2020,PRADES,NOGUERES,3.3081,6
2020,PRADES,POMERES,1.295,2
2020,PRADES,PÈSOLS SIE,1.2111,1
2020,PRADES,PÈSOLS NO SIE,1.1559,1
2020,PRADES,CASTANYERS,1.0429,4
2020,PRADES,ENCIAM,0.9971,3
2020,PRADES,HORTA,0.7283,13
2020,PRADES,TOMÀQUET,0.5499,3
2020,PRADES,MONGETA NO SIE,0.474,2
2020,PRADES,ESPARRECS,0.219,1
2020,PRADES,MADUIXA,0.0996,1
2020,PRADES,CIRERERS,0.0344,1
2020,PRATDIP,AVELLANER,59.3006,115
2020,PRATDIP,AMETLLERS,16.6491,39
2020,PRATDIP,OLIVERES,14.6977,61
2020,PRATDIP,GARROFER,13.3589,27
2020,PRATDIP,GUARET NO SIE/ SUP. LLIURE SE*,8.9116,20
2020,PRATDIP,CIRERERS,2.5605,9
2020,PRATDIP,HORTA,0.706,12
2020,PRATDIP,ALBERCOQUERS,0.6748,1
2020,PRATDIP,"CEBES, CALÇOTS, PORROS I ALLS",0.2127,2
2020,PRATDIP,ENCIAM,0.0631,2
2020,PRATDIP,TOMÀQUET,0.0362,1
2020,PRATDIP,PERERES,0.0162,1
2020,REUS,OLIVERES,464.322,865
2020,REUS,AVELLANER,384.9762,394
2020,REUS,AMETLLERS,146.4998,155
2020,REUS,ORDI,103.7847,37
2020,REUS,GUARET NO SIE/ SUP. LLIURE SE*,66.557,170
2020,REUS,GUARET SIE/ SUP. LLIURE SEMBRA,54.6057,33
2020,REUS,GARROFER,37.4793,115
2020,REUS,COL I COLIFLOR,30.2157,10
2020,REUS,"CEBES, CALÇOTS, PORROS I ALLS",25.2342,23
2020,REUS,VINYES,21.9619,22
2020,REUS,CIVADA,20.9996,15
2020,REUS,BLAT TOU,17.3526,11
2020,REUS,TRITICALE,15.5369,15
2020,REUS,ENCIAM,11.1067,25
2020,REUS,"ENDÍVIA, ESCAROLA I XICOIRA",9.9599,1
2020,REUS,PRESSEGUERS,7.7439,12
2020,REUS,TOMÀQUET,6.3753,15
2020,REUS,TARONGER,5.9265,27
2020,REUS,NAP I COL XINESA,5.8733,1
2020,REUS,CARABASSA,5.5872,5
2020,REUS,PATATA,5.0271,8
2020,REUS,CARXOFA,4.9238,7
2020,REUS,BLEDA,4.4997,5
2020,REUS,FESTUCA,3.3771,2
2020,REUS,ALTRES FRUITERS,2.6382,43
2020,REUS,MELÓ,1.9299,1
2020,REUS,ALFALS SIE,1.8823,4
2020,REUS,MONGETA NO SIE,1.0245,5
2020,REUS,JULIVERT,1.0218,2
2020,REUS,VIVER ARBRE I ARBUST,0.9794,2
2020,REUS,SÍNDRIA,0.5926,1
2020,REUS,RAY-GRASS,0.5352,1
2020,REUS,HORTA,0.4684,9
2020,REUS,CLEMENTINA,0.3822,2
2020,REUS,NOGUERES,0.369,2
2020,REUS,CARBASSÓ,0.3603,2
2020,REUS,NECTARINS,0.212,1
2020,REUS,PEBROT,0.1499,2
2020,REUS,MADUIXA,0.115,1
2020,REUS,LLIMONER,0.0918,2
2020,REUS,CAQUI,0.0334,1
2020,REUS,CIRERERS,0.0295,1
2020,REUS,COGOMBRE,0.0285,1
2020,RIUDECANYES,OLIVERES,228.5508,432
2020,RIUDECANYES,AMETLLERS,13.4454,52
2020,RIUDECANYES,AVELLANER,10.3618,43
2020,RIUDECANYES,GARROFER,8.2731,41
2020,RIUDECANYES,GUARET NO SIE/ SUP. LLIURE SE*,7.0716,34
2020,RIUDECANYES,CIVADA,6.1087,6
2020,RIUDECANYES,ALBERCOQUERS,1.9808,1
2020,RIUDECANYES,POMERES,1.5038,1
2020,RIUDECANYES,TARONGER,1.1295,7
2020,RIUDECANYES,CLEMENTINA,0.9608,8
2020,RIUDECANYES,ALTRES FRUITERS,0.7817,15
2020,RIUDECANYES,ORDI,0.7348,4
2020,RIUDECANYES,CARXOFA,0.6193,2
2020,RIUDECANYES,"CEBES, CALÇOTS, PORROS I ALLS",0.5931,2
2020,RIUDECANYES,FAVES I FAVONS SIE,0.4336,3
2020,RIUDECANYES,LLIMONER,0.2859,3
2020,RIUDECANYES,HORTA,0.194,6
2020,RIUDECANYES,MONGETA SIE,0.1804,1
2020,RIUDECANYES,TOMÀQUET,0.1694,1
2020,RIUDECANYES,PEBROT,0.1261,1
2020,RIUDECANYES,PATATA,0.1058,2
2020,RIUDECANYES,VINYES,0.0818,1
2020,RIUDECANYES,PÈSOLS NO SIE,0.0796,1
2020,RIUDECANYES,GUARET SIE/ SUP. LLIURE SEMBRA,0.0666,1
2020,RIUDECANYES,COL I COLIFLOR,0.0624,3
2020,RIUDECANYES,CIRERERS,0.0507,1
2020,RIUDECANYES,NOGUERES,0.0206,1
2020,RIUDECOLS,AVELLANER,117.191,187
2020,RIUDECOLS,OLIVERES,37.7451,116
2020,RIUDECOLS,AMETLLERS,25.0635,57
2020,RIUDECOLS,GARROFER,2.8193,6
2020,RIUDECOLS,GUARET NO SIE/ SUP. LLIURE SE*,1.4876,8
2020,RIUDECOLS,ORDI,0.7424,2
2020,RIUDECOLS,ENCIAM,0.1862,8
2020,RIUDECOLS,POMERES,0.1833,1
2020,RIUDECOLS,ALTRES FRUITERS,0.1131,4
2020,RIUDECOLS,HORTA,0.1095,3
2020,RIUDECOLS,TOMÀQUET,0.0591,1
2020,RIUDECOLS,TARONGER,0.0311,1
2020,RIUDOMS,OLIVERES,585.6605,1157
2020,RIUDOMS,AVELLANER,535.7654,551
2020,RIUDOMS,AMETLLERS,125.7075,162
2020,RIUDOMS,ORDI,94.192,56
2020,RIUDOMS,GUARET NO SIE/ SUP. LLIURE SE*,58.8148,183
2020,RIUDOMS,GARROFER,52.8146,130
2020,RIUDOMS,PRESSEGUERS,20.4022,34
2020,RIUDOMS,TRITICALE,13.9847,12
2020,RIUDOMS,"CEBES, CALÇOTS, PORROS I ALLS",13.4467,24
2020,RIUDOMS,GUARET SIE/ SUP. LLIURE SEMBRA,12.0687,8
2020,RIUDOMS,CIVADA,7.1311,6
2020,RIUDOMS,TARONGER,7.0457,52
2020,RIUDOMS,VIVER ARBRE I ARBUST,6.8953,15
2020,RIUDOMS,NOGUERES,6.6683,18
2020,RIUDOMS,TOMÀQUET,6.3942,26
2020,RIUDOMS,COL I COLIFLOR,4.5622,9
2020,RIUDOMS,PRUNERES,3.8111,14
2020,RIUDOMS,CARXOFA,3.7185,7
2020,RIUDOMS,CARABASSA,3.6056,4
2020,RIUDOMS,BLAT TOU,3.0388,7
2020,RIUDOMS,PATATA,2.9183,3
2020,RIUDOMS,VINYES,2.9006,7
2020,RIUDOMS,ALTRES FRUITERS,2.7212,66
2020,RIUDOMS,ALBERCOQUERS,2.447,14
2020,RIUDOMS,ENCIAM,2.3017,13
2020,RIUDOMS,CLEMENTINA,2.1741,7
2020,RIUDOMS,FLORS I ORNAMENTALS,1.8433,3
2020,RIUDOMS,CARBASSÓ,1.7229,3
2020,RIUDOMS,MENTA,1.6771,1
2020,RIUDOMS,CIRERERS,1.6323,5
2020,RIUDOMS,MONGETA NO SIE,1.5351,7
2020,RIUDOMS,HORTA,1.3529,26
2020,RIUDOMS,LLIMONER,1.026,3
2020,RIUDOMS,FAVES I FAVONS NO SIE,0.903,3
2020,RIUDOMS,MAGRANER,0.8026,3
2020,RIUDOMS,CODONY,0.7786,1
2020,RIUDOMS,COGOMBRE,0.7137,1
2020,RIUDOMS,POMERES,0.6022,5
2020,RIUDOMS,PÈSOLS NO SIE,0.5782,2
2020,RIUDOMS,ALBERGÍNIA,0.3971,1
2020,RIUDOMS,ESPINAC,0.375,1
2020,RIUDOMS,KIWI,0.2598,1
2020,RIUDOMS,PEBROT,0.2443,3
2020,RIUDOMS,NESPRER,0.1456,1
2020,RIUDOMS,PERERES,0.1182,2
2020,RIUDOMS,ESPARRECS,0.0236,1
2020,RIUDOMS,FIGUERA,0.01,1
2020,SELVA DEL CAMP (LA),AVELLANER,969.1817,516
2020,SELVA DEL CAMP (LA),OLIVERES,229.0506,929
2020,SELVA DEL CAMP (LA),AMETLLERS,69.9167,118
